ProgramId,Title,Description,Availability,Duration,EducationLevel,TargetLevel,Capacity,CreatedAt,ProgramPostStatus,MentorProfileId,DomainId,SubDomainId,mentor_total_programs
1809,DevOps & Cloud for Real Projects,This mentorship focuses on DevOps & Cloud with practical applications.,Available,,graduate,Mid,10,2025-08-01 00:00:00,0,215,1,5,4
2279,Introduction to Graphic Design,This mentorship focuses on Graphic Design with practical applications.,Available,,freshman,Mid,5,2025-07-08 00:00:00,0,337,3,16,2
2208,Machine Learning for Beginners,This mentorship focuses on Machine Learning with practical applications.,Available,,senior,Junior,7,2025-08-24 00:00:00,0,757,2,7,4
1940,Hands-on System Design Training,This mentorship focuses on System Design with practical applications.,Available,,freshman,Senior,9,2025-09-25 00:00:00,0,1348,1,6,2
934,Introduction to Computer Vision,This mentorship focuses on Computer Vision with practical applications.,Available,,senior,Beginner,9,2025-09-09 00:00:00,0,390,2,9,4
2443,Introduction to System Design,This mentorship focuses on System Design with practical applications.,Available,,sophomore,Junior,6,2025-09-28 00:00:00,0,153,1,6,3
2412,Hands-on Mobile Development Training,This mentorship focuses on Mobile Development with practical applications.,Available,,freshman,Senior,4,2025-08-27 00:00:00,0,342,1,4,5
1691,Hands-on Mobile Development Training,This mentorship focuses on Mobile Development with practical applications.,Available,,graduate,Mid,9,2025-04-26 00:00:00,0,199,1,4,5
2020,Mastering Full Stack Development,This mentorship focuses on Full Stack Development with practical applications.,Available,,freshman,Junior,8,2025-05-01 00:00:00,0,1029,1,3,3
164,Data Engineering for Beginners,This mentorship focuses on Data Engineering with practical applications.,Available,,freshman,Mid,3,2025-05-22 00:00:00,0,1028,2,13,4
1111,Introduction to Mobile Development,This mentorship focuses on Mobile Development with practical applications.,Available,,freshman,Senior,2,2025-08-27 00:00:00,0,250,1,4,4
2755,Hands-on Motion Design Training,This mentorship focuses on Motion Design with practical applications.,Available,,sophomore,Beginner,4,2025-09-11 00:00:00,0,1362,3,17,3
