ProgramId,Title,Description,Availability,Duration,EducationLevel,TargetLevel,Capacity,CreatedAt,ProgramPostStatus,MentorProfileId,DomainId,SubDomainId,Deadline
1809,DevOps & Cloud for Real Projects,This mentorship focuses on DevOps & Cloud with practical applications.,Available,,graduate,Mid,10,2025-08-01 00:00:00,1,215,1,5,2026-07-08 00:00:00
2279,Introduction to Graphic Design,This mentorship focuses on Graphic Design with practical applications.,Available,,freshman,Mid,5,2025-07-08 00:00:00,1,337,3,16,2025-09-04 00:00:00
2208,Machine Learning for Beginners,This mentorship focuses on Machine Learning with practical applications.,Available,,senior,Junior,7,2025-08-24 00:00:00,1,757,2,7,2026-05-30 00:00:00
1940,Hands-on System Design Training,This mentorship focuses on System Design with practical applications.,Available,,freshman,Senior,9,2025-09-25 00:00:00,1,1348,1,6,2026-06-15 00:00:00
934,Introduction to Computer Vision,This mentorship focuses on Computer Vision with practical applications.,Available,,senior,Beginner,9,2025-09-09 00:00:00,1,390,2,9,2025-12-09 00:00:00
2443,Introduction to System Design,This mentorship focuses on System Design with practical applications.,Available,,sophomore,Junior,6,2025-09-28 00:00:00,1,153,1,6,2025-11-25 00:00:00
2412,Hands-on Mobile Development Training,This mentorship focuses on Mobile Development with practical applications.,Available,,freshman,Senior,4,2025-08-27 00:00:00,1,342,1,4,2026-06-06 00:00:00
1691,Hands-on Mobile Development Training,This mentorship focuses on Mobile Development with practical applications.,Available,,graduate,Mid,9,2025-04-26 00:00:00,1,199,1,4,2026-06-04 00:00:00
2020,Mastering Full Stack Development,This mentorship focuses on Full Stack Development with practical applications.,Available,,freshman,Junior,11,2025-05-01 00:00:00,1,1029,1,3,2025-07-30 00:00:00
164,Data Engineering for Beginners,This mentorship focuses on Data Engineering with practical applications.,Available,,freshman,Mid,7,2025-05-22 00:00:00,1,1028,2,13,2026-07-11 00:00:00
1111,Introduction to Mobile Development,This mentorship focuses on Mobile Development with practical applications.,Available,,freshman,Senior,4,2025-08-27 00:00:00,1,250,1,4,2025-10-11 00:00:00
2755,Hands-on Motion Design Training,This mentorship focuses on Motion Design with practical applications.,Available,,sophomore,Beginner,8,2025-09-11 00:00:00,1,1362,3,17,2026-07-05 00:00:00
1279,Backend Development for Real Projects,This mentorship focuses on Backend Development with practical applications.,Available,,senior,Mid,6,2025-08-29 00:00:00,1,1147,1,1,2025-12-04 00:00:00
1234,Backend Development for Real Projects,This mentorship focuses on Backend Development with practical applications.,Available,,graduate,Beginner,3,2025-09-17 00:00:00,1,1060,1,1,2026-05-31 00:00:00
533,Introduction to Backend Development,This mentorship focuses on Backend Development with practical applications.,Available,,junior,Senior,8,2024-04-10 00:00:00,1,553,1,1,2024-05-11 00:00:00
1211,Introduction to DevOps & Cloud,This mentorship focuses on DevOps & Cloud with practical applications.,Available,,junior,Mid,6,2024-07-12 00:00:00,1,969,1,5,2026-06-03 00:00:00
2517,Backend Development for Real Projects,This mentorship focuses on Backend Development with practical applications.,Available,,junior,Senior,9,2025-02-07 00:00:00,1,739,1,1,2026-06-11 00:00:00
1673,Mastering Data Analysis,This mentorship focuses on Data Analysis with practical applications.,Available,,junior,Beginner,14,2025-07-21 00:00:00,1,614,2,11,2025-10-10 00:00:00
2614,Branding for Beginners,This mentorship focuses on Branding with practical applications.,Available,,senior,Junior,8,2024-09-29 00:00:00,1,1250,3,18,2025-10-06 21:38:00
899,Mastering Frontend Development,This mentorship focuses on Frontend Development with practical applications.,Available,,freshman,Senior,3,2025-09-14 00:00:00,1,379,1,2,2026-06-12 00:00:00
235,Hands-on Project Management Training,This mentorship focuses on Project Management with practical applications.,Available,,graduate,Mid,8,2024-05-31 00:00:00,1,82,4,21,2026-06-30 00:00:00
268,Data Science for Real Projects,This mentorship focuses on Data Science with practical applications.,Available,,junior,Junior,4,2025-01-16 00:00:00,1,1434,2,12,2026-01-23 00:00:00
2729,System Design for Beginners,This mentorship focuses on System Design with practical applications.,Available,,senior,Mid,4,2025-03-30 00:00:00,1,341,1,6,2025-04-20 00:00:00
3151,System Design for Beginners,This mentorship focuses on System Design with practical applications.,Available,,junior,Mid,7,2025-03-01 00:00:00,1,1166,1,6,2026-01-28 00:00:00
2974,Hands-on Product Design Training,This mentorship focuses on Product Design with practical applications.,Available,,senior,Beginner,5,2025-09-10 00:00:00,1,802,3,15,2026-06-10 00:00:00
440,Mastering Mobile Development,This mentorship focuses on Mobile Development with practical applications.,Available,,senior,Mid,7,2024-06-10 00:00:00,1,912,1,4,2024-08-05 00:00:00
308,Graphic Design for Real Projects,This mentorship focuses on Graphic Design with practical applications.,Available,,junior,Beginner,16,2025-10-02 00:00:00,1,637,3,16,2025-12-30 00:00:00
2422,Introduction to Backend Development,This mentorship focuses on Backend Development with practical applications.,Available,,senior,Mid,6,2025-03-01 00:00:00,1,1017,1,1,2026-01-28 00:00:00
1406,Mastering Deep Learning,This mentorship focuses on Deep Learning with practical applications.,Available,,graduate,Junior,6,2024-02-28 00:00:00,1,826,2,8,2026-07-12 00:00:00
1260,Data Engineering for Real Projects,This mentorship focuses on Data Engineering with practical applications.,Available,,graduate,Senior,8,2025-04-12 00:00:00,1,951,2,13,2026-01-17 00:00:00
2773,Introduction to Data Science,This mentorship focuses on Data Science with practical applications.,Available,,sophomore,Mid,8,2025-09-26 00:00:00,1,443,2,12,2026-01-12 00:00:00
1497,Introduction to Data Analysis,This mentorship focuses on Data Analysis with practical applications.,Available,,sophomore,Mid,7,2025-05-06 00:00:00,1,1194,2,11,2025-06-23 00:00:00
2826,Frontend Development for Real Projects,This mentorship focuses on Frontend Development with practical applications.,Available,,sophomore,Junior,6,2025-09-15 00:00:00,1,1047,1,2,2025-12-14 00:00:00
1699,Mastering Full Stack Development,This mentorship focuses on Full Stack Development with practical applications.,Available,,graduate,Mid,10,2024-06-02 00:00:00,1,350,1,3,2026-07-05 00:00:00
492,Backend Development for Beginners,This mentorship focuses on Backend Development with practical applications.,Available,,graduate,Junior,9,2025-07-15 00:00:00,1,825,1,1,2025-09-23 00:00:00
2911,Hands-on Data Engineering Training,This mentorship focuses on Data Engineering with practical applications.,Available,,sophomore,Mid,4,2025-07-23 00:00:00,1,1072,2,13,2025-10-02 00:00:00
2268,Hands-on Entrepreneurship Training,This mentorship focuses on Entrepreneurship with practical applications.,Available,,junior,Senior,7,2025-05-14 00:00:00,1,278,4,23,2026-06-08 00:00:00
1230,Mastering DevOps & Cloud,This mentorship focuses on DevOps & Cloud with practical applications.,Available,,sophomore,Mid,9,2024-08-04 00:00:00,1,1060,1,5,2026-07-12 00:00:00
1439,Introduction to Frontend Development,This mentorship focuses on Frontend Development with practical applications.,Available,,freshman,Senior,7,2024-02-26 00:00:00,1,719,1,2,2025-05-04 00:00:00
260,Graphic Design for Beginners,This mentorship focuses on Graphic Design with practical applications.,Available,,senior,Junior,7,2025-06-18 00:00:00,1,833,3,16,2026-06-19 00:00:00
1299,Career Coaching for Beginners,This mentorship focuses on Career Coaching with practical applications.,Available,,freshman,Senior,10,2025-06-25 00:00:00,1,1304,4,22,2025-11-15 00:00:00
1510,Hands-on UI/UX Design Training,This mentorship focuses on UI/UX Design with practical applications.,Available,,freshman,Mid,9,2025-07-04 00:00:00,1,1162,3,14,2025-07-29 00:00:00
1955,Mastering Natural Language Processing,This mentorship focuses on Natural Language Processing with practical applications.,Available,,sophomore,Mid,8,2025-10-13 00:00:00,1,287,2,10,2026-06-11 00:00:00
530,Introduction to Motion Design,This mentorship focuses on Motion Design with practical applications.,Available,,sophomore,Beginner,10,2025-09-09 00:00:00,1,307,3,17,2025-12-08 00:00:00
1788,Mastering UI/UX Design,This mentorship focuses on UI/UX Design with practical applications.,Available,,senior,Mid,9,2025-07-06 00:00:00,1,329,3,14,2026-06-19 00:00:00
398,Mastering System Design,This mentorship focuses on System Design with practical applications.,Available,,junior,Mid,9,2025-04-07 00:00:00,1,843,1,6,2026-06-04 00:00:00
426,Mastering Graphic Design,This mentorship focuses on Graphic Design with practical applications.,Available,,junior,Junior,5,2025-06-19 00:00:00,1,672,3,16,2025-09-11 00:00:00
3082,Hands-on System Design Training,This mentorship focuses on System Design with practical applications.,Available,,graduate,Junior,9,2025-07-05 00:00:00,1,193,1,6,2025-07-27 00:00:00
1085,Hands-on Data Analysis Training,This mentorship focuses on Data Analysis with practical applications.,Available,,senior,Beginner,7,2025-04-17 00:00:00,1,119,2,11,2025-06-12 00:00:00
1587,Full Stack Development for Real Projects,This mentorship focuses on Full Stack Development with practical applications.,Available,,senior,Senior,6,2025-01-25 00:00:00,1,718,1,3,2026-06-22 00:00:00
973,Full Stack Development for Beginners,This mentorship focuses on Full Stack Development with practical applications.,Available,,graduate,Beginner,6,2025-10-17 00:00:00,1,894,1,3,2026-01-10 00:00:00
