ProgramId,Title,Description,Availability,Duration,EducationLevel,TargetLevel,Capacity,CreatedAt,ProgramPostStatus,MentorProfileId,DomainId,SubDomainId
1809,DevOps & Cloud for Real Projects,This mentorship focuses on DevOps & Cloud with practical applications.,Available,,graduate,Mid,10,2025-08-01 00:00:00,0,215,1,5
2279,Introduction to Graphic Design,This mentorship focuses on Graphic Design with practical applications.,Available,,freshman,Mid,5,2025-07-08 00:00:00,0,337,3,16
2208,Machine Learning for Beginners,This mentorship focuses on Machine Learning with practical applications.,Available,,senior,Junior,7,2025-08-24 00:00:00,0,757,2,7
1940,Hands-on System Design Training,This mentorship focuses on System Design with practical applications.,Available,,freshman,Senior,9,2025-09-25 00:00:00,0,1348,1,6
934,Introduction to Computer Vision,This mentorship focuses on Computer Vision with practical applications.,Available,,senior,Beginner,9,2025-09-09 00:00:00,0,390,2,9
2443,Introduction to System Design,This mentorship focuses on System Design with practical applications.,Available,,sophomore,Junior,6,2025-09-28 00:00:00,0,153,1,6
2412,Hands-on Mobile Development Training,This mentorship focuses on Mobile Development with practical applications.,Available,,freshman,Senior,4,2025-08-27 00:00:00,0,342,1,4
1691,Hands-on Mobile Development Training,This mentorship focuses on Mobile Development with practical applications.,Available,,graduate,Mid,9,2025-04-26 00:00:00,0,199,1,4
2020,Mastering Full Stack Development,This mentorship focuses on Full Stack Development with practical applications.,Available,,freshman,Junior,8,2025-05-01 00:00:00,0,1029,1,3
164,Data Engineering for Beginners,This mentorship focuses on Data Engineering with practical applications.,Available,,freshman,Mid,3,2025-05-22 00:00:00,0,1028,2,13
1111,Introduction to Mobile Development,This mentorship focuses on Mobile Development with practical applications.,Available,,freshman,Senior,2,2025-08-27 00:00:00,0,250,1,4
2755,Hands-on Motion Design Training,This mentorship focuses on Motion Design with practical applications.,Available,,sophomore,Beginner,4,2025-09-11 00:00:00,0,1362,3,17
1279,Backend Development for Real Projects,This mentorship focuses on Backend Development with practical applications.,Available,,senior,Mid,6,2025-08-29 00:00:00,0,1147,1,1
1234,Backend Development for Real Projects,This mentorship focuses on Backend Development with practical applications.,Available,,graduate,Beginner,3,2025-09-17 00:00:00,0,1060,1,1
533,Introduction to Backend Development,This mentorship focuses on Backend Development with practical applications.,Available,,junior,Senior,8,2024-04-10 00:00:00,0,553,1,1
1211,Introduction to DevOps & Cloud,This mentorship focuses on DevOps & Cloud with practical applications.,Available,,junior,Mid,5,2024-07-12 00:00:00,0,969,1,5
2517,Backend Development for Real Projects,This mentorship focuses on Backend Development with practical applications.,Available,,junior,Senior,9,2025-02-07 00:00:00,0,739,1,1
1673,Mastering Data Analysis,This mentorship focuses on Data Analysis with practical applications.,Available,,junior,Beginner,5,2025-07-21 00:00:00,1,614,2,11
2614,Branding for Beginners,This mentorship focuses on Branding with practical applications.,Available,,senior,Junior,2,2024-09-29 00:00:00,0,1250,3,18
899,Mastering Frontend Development,This mentorship focuses on Frontend Development with practical applications.,Available,,freshman,Senior,3,2025-09-14 00:00:00,0,379,1,2
235,Hands-on Project Management Training,This mentorship focuses on Project Management with practical applications.,Available,,graduate,Mid,4,2024-05-31 00:00:00,0,82,4,21
268,Data Science for Real Projects,This mentorship focuses on Data Science with practical applications.,Available,,junior,Junior,4,2025-01-16 00:00:00,0,1434,2,12
2729,System Design for Beginners,This mentorship focuses on System Design with practical applications.,Available,,senior,Mid,2,2025-03-30 00:00:00,0,341,1,6
3151,System Design for Beginners,This mentorship focuses on System Design with practical applications.,Available,,junior,Mid,6,2025-03-01 00:00:00,0,1166,1,6
2974,Hands-on Product Design Training,This mentorship focuses on Product Design with practical applications.,Available,,senior,Beginner,5,2025-09-10 00:00:00,0,802,3,15
440,Mastering Mobile Development,This mentorship focuses on Mobile Development with practical applications.,Available,,senior,Mid,4,2024-06-10 00:00:00,0,912,1,4
308,Graphic Design for Real Projects,This mentorship focuses on Graphic Design with practical applications.,Available,,junior,Beginner,6,2025-10-02 00:00:00,1,637,3,16
2422,Introduction to Backend Development,This mentorship focuses on Backend Development with practical applications.,Available,,senior,Mid,4,2025-03-01 00:00:00,0,1017,1,1
1406,Mastering Deep Learning,This mentorship focuses on Deep Learning with practical applications.,Available,,graduate,Junior,5,2024-02-28 00:00:00,0,826,2,8
1260,Data Engineering for Real Projects,This mentorship focuses on Data Engineering with practical applications.,Available,,graduate,Senior,4,2025-04-12 00:00:00,0,951,2,13
2773,Introduction to Data Science,This mentorship focuses on Data Science with practical applications.,Available,,sophomore,Mid,8,2025-09-26 00:00:00,0,443,2,12
1497,Introduction to Data Analysis,This mentorship focuses on Data Analysis with practical applications.,Available,,sophomore,Mid,7,2025-05-06 00:00:00,0,1194,2,11
2826,Frontend Development for Real Projects,This mentorship focuses on Frontend Development with practical applications.,Available,,sophomore,Junior,5,2025-09-15 00:00:00,0,1047,1,2
1699,Mastering Full Stack Development,This mentorship focuses on Full Stack Development with practical applications.,Available,,graduate,Mid,10,2024-06-02 00:00:00,0,350,1,3
492,Backend Development for Beginners,This mentorship focuses on Backend Development with practical applications.,Available,,graduate,Junior,4,2025-07-15 00:00:00,0,825,1,1
2911,Hands-on Data Engineering Training,This mentorship focuses on Data Engineering with practical applications.,Available,,sophomore,Mid,4,2025-07-23 00:00:00,0,1072,2,13
2268,Hands-on Entrepreneurship Training,This mentorship focuses on Entrepreneurship with practical applications.,Available,,junior,Senior,7,2025-05-14 00:00:00,0,278,4,23
1230,Mastering DevOps & Cloud,This mentorship focuses on DevOps & Cloud with practical applications.,Available,,sophomore,Mid,9,2024-08-04 00:00:00,0,1060,1,5
1439,Introduction to Frontend Development,This mentorship focuses on Frontend Development with practical applications.,Available,,freshman,Senior,2,2024-02-26 00:00:00,0,719,1,2
260,Graphic Design for Beginners,This mentorship focuses on Graphic Design with practical applications.,Available,,senior,Junior,7,2025-06-18 00:00:00,0,833,3,16
1299,Career Coaching for Beginners,This mentorship focuses on Career Coaching with practical applications.,Available,,freshman,Senior,10,2025-06-25 00:00:00,0,1304,4,22
1510,Hands-on UI/UX Design Training,This mentorship focuses on UI/UX Design with practical applications.,Available,,freshman,Mid,3,2025-07-04 00:00:00,0,1162,3,14
